fecha,peaje,sentido_1,sentido_2,total,tipo_dia,trm_dolar
2022-01-01,AGUAS NEGRASdef,4596,2810,7406,festivo,
2022-01-01,CASABLANCA,7845,4248,12093,festivo,
2022-01-01,COCORNA (EL SANTUARIO),5649,3034,8683,festivo,
2022-01-01,CURITÍ,4016,1988,6004,festivo,
2022-01-01,LA GOMEZ,3761,2342,6103,festivo,
2022-01-01,LA PARADA,7773,7773,15546,festivo,
2022-01-01,LOBOGUERRERO,1748,1036,2784,festivo,
2022-01-01,LOS CUROS,3824,1766,5590,festivo,
2022-01-01,MORRISON,5241,3075,8316,festivo,
2022-01-01,OIBA,3273,1779,5052,festivo,
2022-01-01,PAILITAS,4725,2565,7290,festivo,
2022-01-01,PLATANAL,1081,652,1733,festivo,
2022-01-01,PTO. TRIUNFO,3936,2280,6216,festivo,
2022-01-01,RINCON HONDO,858,397,1255,festivo,
2022-01-01,SABOYA,3556,2181,5737,festivo,
2022-01-01,SAN DIEGO,1787,886,2673,festivo,
2022-01-01,SAN JUAN,2106,937,3043,festivo,
2022-01-01,ZAMBITO,3990,2561,6551,festivo,
2022-01-02,AGUAS NEGRASdef,9984,4788,14772,fin_de_semana,
2022-01-02,CASABLANCA,17111,7701,24812,fin_de_semana,
2022-01-02,COCORNA (EL SANTUARIO),11784,5655,17439,fin_de_semana,
2022-01-02,CURITÍ,9907,5273,15180,fin_de_semana,
2022-01-02,LA GOMEZ,7689,4142,11831,fin_de_semana,
2022-01-02,LA PARADA,10851,10851,21702,fin_de_semana,
2022-01-02,LOBOGUERRERO,4843,2616,7459,fin_de_semana,
2022-01-02,LOS CUROS,9880,4932,14812,fin_de_semana,
2022-01-02,MORRISON,12078,6211,18289,fin_de_semana,
2022-01-02,OIBA,9033,3967,13000,fin_de_semana,
2022-01-02,PAILITAS,11406,6115,17521,fin_de_semana,
2022-01-02,PLATANAL,3024,1746,4770,fin_de_semana,
2022-01-02,PTO. TRIUNFO,9367,4839,14206,fin_de_semana,
2022-01-02,RINCON HONDO,2384,1015,3399,fin_de_semana,
2022-01-02,SABOYA,7532,2486,10018,fin_de_semana,
2022-01-02,SAN DIEGO,4314,2351,6665,fin_de_semana,
2022-01-02,SAN JUAN,4605,2165,6770,fin_de_semana,
2022-01-02,ZAMBITO,8032,4070,12102,fin_de_semana,
2022-01-03,AGUAS NEGRASdef,11408,5110,16518,entre_semana,
2022-01-03,CASABLANCA,14493,5655,20148,entre_semana,
2022-01-03,COCORNA (EL SANTUARIO),10545,5091,15636,entre_semana,
2022-01-03,CURITÍ,9724,4994,14718,entre_semana,
2022-01-03,LA GOMEZ,8522,4678,13200,entre_semana,
2022-01-03,LA PARADA,15899,15899,31798,entre_semana,
2022-01-03,LOBOGUERRERO,6128,3403,9531,entre_semana,
2022-01-03,LOS CUROS,9850,4977,14827,entre_semana,
2022-01-03,MORRISON,13951,7397,21348,entre_semana,
2022-01-03,OIBA,9122,4198,13320,entre_semana,
2022-01-03,PAILITAS,13700,7339,21039,entre_semana,
2022-01-03,PLATANAL,3613,1991,5604,entre_semana,
2022-01-03,PTO. TRIUNFO,9829,5188,15017,entre_semana,
2022-01-03,RINCON HONDO,2874,1260,4134,entre_semana,
2022-01-03,SABOYA,6211,2299,8510,entre_semana,
2022-01-03,SAN DIEGO,5416,2911,8327,entre_semana,
2022-01-03,SAN JUAN,5830,2805,8635,entre_semana,
2022-01-03,ZAMBITO,9460,4885,14345,entre_semana,
2022-01-04,AGUAS NEGRASdef,10798,4752,15550,entre_semana,4082.75
2022-01-04,CASABLANCA,12858,5876,18734,entre_semana,4082.75
2022-01-04,COCORNA (EL SANTUARIO),10184,5139,15323,entre_semana,4082.75
2022-01-04,CURITÍ,9040,4653,13693,entre_semana,4082.75
2022-01-04,LA GOMEZ,8428,4697,13125,entre_semana,4082.75
2022-01-04,LA PARADA,17127,17127,34254,entre_semana,4082.75
2022-01-04,LOBOGUERRERO,6548,3457,10005,entre_semana,4082.75
2022-01-04,LOS CUROS,8993,4437,13430,entre_semana,4082.75
2022-01-04,MORRISON,13914,7401,21315,entre_semana,4082.75
2022-01-04,OIBA,8260,3841,12101,entre_semana,4082.75
2022-01-04,PAILITAS,13899,7735,21634,entre_semana,4082.75
2022-01-04,PLATANAL,3506,1849,5355,entre_semana,4082.75
2022-01-04,PTO. TRIUNFO,9294,4701,13995,entre_semana,4082.75
2022-01-04,RINCON HONDO,2970,1354,4324,entre_semana,4082.75
2022-01-04,SABOYA,5488,2595,8083,entre_semana,4082.75
2022-01-04,SAN DIEGO,5539,2980,8519,entre_semana,4082.75
2022-01-04,SAN JUAN,5923,2890,8813,entre_semana,4082.75
2022-01-04,ZAMBITO,8945,4212,13157,entre_semana,4082.75
2022-01-05,AGUAS NEGRASdef,10382,4575,14957,entre_semana,4084.11
2022-01-05,CASABLANCA,12256,6017,18273,entre_semana,4084.11
2022-01-05,COCORNA (EL SANTUARIO),10041,5114,15155,entre_semana,4084.11
2022-01-05,CURITÍ,8900,4648,13548,entre_semana,4084.11
2022-01-05,LA GOMEZ,8025,3697,11722,entre_semana,4084.11
2022-01-05,LA PARADA,17180,17180,34360,entre_semana,4084.11
2022-01-05,LOBOGUERRERO,6679,3425,10104,entre_semana,4084.11
2022-01-05,LOS CUROS,8775,4441,13216,entre_semana,4084.11
2022-01-05,MORRISON,13043,6345,19388,entre_semana,4084.11
2022-01-05,OIBA,7899,3956,11855,entre_semana,4084.11
2022-01-05,PAILITAS,12839,6643,19482,entre_semana,4084.11
2022-01-05,PLATANAL,3389,1831,5220,entre_semana,4084.11
2022-01-05,PTO. TRIUNFO,9041,4525,13566,entre_semana,4084.11
2022-01-05,RINCON HONDO,1608,732,2340,entre_semana,4084.11
2022-01-05,SABOYA,5207,2601,7808,entre_semana,4084.11
2022-01-05,SAN DIEGO,5210,2630,7840,entre_semana,4084.11
2022-01-05,SAN JUAN,5735,2919,8654,entre_semana,4084.11
2022-01-05,ZAMBITO,8548,3834,12382,entre_semana,4084.11
2022-01-06,AGUAS NEGRASdef,10390,4363,14753,entre_semana,4042.36
2022-01-06,CASABLANCA,12434,6377,18811,entre_semana,4042.36
2022-01-06,COCORNA (EL SANTUARIO),9954,4690,14644,entre_semana,4042.36
